s/ ativ;c/ ativ;;media;DesvPad;RMS;max
0;0;;;;;
0;18;;;;;
18;0;;;;;
0;205;;;;;
185;52;;;;;
0;0;;;;;
0;218;;;;;
0;0;;;;;
0;0;;;;;
134;43;;;;;
0;0;;;;;
0;234;;;;;
0;10;;;;;
0;0;;;;;
52;16;;;;;
0;0;;;;;
382;178;;;;;
0;0;;;;;
0;0;;;;;
96;111;;;;;
0;0;;;;;
309;243;;;;;
0;0;;;;;
0;0;;;;;
65;17;;;;;
0;0;;;;;
352;199;;;;;
46;0;;;;;
0;0;;;;;
73;80;;;;;
0;0;;;;;
304;173;;;;;
0;0;;;;;
0;0;;;;;
147;5;;;;;
0;0;;;;;
309;215;;;;;
0;0;;;;;
0;0;;;;;
48;13;;;;;
0;0;;;;;
250;164;;;;;
0;0;;;;;
0;0;;;;;
96;62;;;;;
0;0;;;;;
160;172;;;;;
0;0;;;;;
0;0;;;;;
5;0;;;;;
0;0;;;;;
161;163;;;;;
0;0;;;;;
0;0;;;;;
61;342;;;;;
0;0;;;;;
286;0;;;;;
0;100;;;;;
0;0;;;;;
80;384;;;;;
0;4;;;;;
278;0;;;;;
0;81;;;;;
0;0;;;;;
60;309;;;;;
0;0;;;;;
318;0;;;;;
38;118;;;;;
0;0;;;;;
49;354;;;;;
0;39;;;;;
249;0;;;;;
0;71;;;;;
0;0;;;;;
143;290;;;;;
0;0;;;;;
289;0;;;;;
0;133;;;;;
0;0;;;;;
208;269;;;;;
0;0;;;;;
389;0;;;;;
0;48;;;;;
0;0;;;;;
167;521;;;;;
0;47;;;;;
196;0;;;;;
23;112;;;;;
0;0;;;;;
16;327;;;;;
0;0;;;;;
213;0;;;;;
0;115;;;;;
0;0;;;;;
81;315;;;;;
0;50;;;;;
155;0;;;;;
0;63;;;;;
0;0;;;;;
9;295;;;;;
0;0;;;;;
212;58;;;;;
168;0;;;;;
0;496;;;;;
337;5;;;;;
0;0;;;;;
0;106;;;;;
87;0;;;;;
0;289;;;;;
379;0;;;;;
49;0;;;;;
0;52;;;;;
92;0;;;;;
0;336;;;;;
289;12;;;;;
0;0;;;;;
0;59;;;;;
144;0;;;;;
0;243;;;;;
272;0;;;;;
0;0;;;;;
0;121;;;;;
5;0;;;;;
0;272;;;;;
207;0;;;;;
0;0;;;;;
0;139;;;;;
109;0;;;;;
0;296;;;;;
15;0;;;;;
0;0;;;;;
0;84;;;;;
78;0;;;;;
0;315;;;;;
301;29;;;;;
23;0;;;;;
0;64;;;;;
134;0;;;;;
0;304;;;;;
239;0;;;;;
0;0;;;;;
0;170;;;;;
180;0;;;;;
0;336;;;;;
289;0;;;;;
48;0;;;;;
0;83;;;;;
81;0;;;;;
0;0;;;;;
298;86;;;;;
235;0;;;;;
0;198;;;;;
0;0;;;;;
42;0;;;;;
0;32;;;;;
108;0;;;;;
0;286;;;;;
42;0;;;;;
0;0;;;;;
0;42;;;;;
206;0;;;;;
0;241;;;;;
0;0;;;;;
0;0;;;;;
0;58;;;;;
62;0;;;;;
0;261;;;;;
395;0;;;;;
1;0;;;;;
0;0;;;;;
197;0;;;;;
0;191;;;;;
178;0;;;;;
27;0;;;;;
143;87;;;;;
0;0;;;;;
0;110;;;;;
66;0;;;;;
0;0;;;;;
163;0;;;;;
0;0;;;;;
0;251;;;;;
9;0;;;;;
0;0;;;;;
173;18;;;;;
0;0;;;;;
0;107;;;;;
83;0;;;;;
0;0;;;;;
0;44;;;;;
0;0;;;;;
0;245;;;;;
124;0;;;;;
0;0;;;;;
0;0;;;;;
67;0;;;;;
0;131;;;;;
179;0;;;;;
0;0;;;;;
0;336;;;;;
179;15;;;;;
0;0;;;;;
345;31;;;;;
17;0;;;;;
0;223;;;;;
82;0;;;;;
0;0;;;;;
277;52;;;;;
0;0;;;;;
0;269;;;;;
167;0;;;;;
0;0;;;;;
0;23;;;;;
16;0;;;;;
0;256;;;;;
150;0;;;;;
0;0;;;;;
112;86;;;;;
26;0;;;;;
0;240;;;;;
133;0;;;;;
3;0;;;;;
0;25;;;;;
0;0;;;;;
0;261;;;;;
109;5;;;;;
0;0;;;;;
340;38;;;;;
23;0;;;;;
0;163;;;;;
58;0;;;;;
0;0;;;;;
301;96;;;;;
0;0;;;;;
0;176;;;;;
86;0;;;;;
0;0;;;;;
327;0;;;;;
32;0;;;;;
0;238;;;;;
64;0;;;;;
0;0;;;;;
302;64;;;;;
0;0;;;;;
0;112;;;;;
101;0;;;;;
0;118;;;;;
295;0;;;;;
0;0;;;;;
0;101;;;;;
0;0;;;;;
147;0;;;;;
0;0;;;;;
0;0;;;;;
53;178;;;;;
0;0;;;;;
118;335;;;;;
0;3;;;;;
0;0;;;;;
0;74;;;;;
0;0;;;;;
80;420;;;;;
0;0;;;;;
283;0;;;;;
16;29;;;;;
0;0;;;;;
42;111;;;;;
0;0;;;;;
294;0;;;;;
0;35;;;;;
0;0;;;;;
104;186;;;;;
0;12;;;;;
312;0;;;;;
0;0;;;;;
0;0;;;;;
50;101;;;;;
0;0;;;;;
277;279;;;;;
0;47;;;;;
0;0;;;;;
70;91;;;;;
0;0;;;;;
256;303;;;;;
0;0;;;;;
0;0;;;;;
63;161;;;;;
0;0;;;;;
237;305;;;;;
13;0;;;;;
0;0;;;;;
35;23;;;;;
0;0;;;;;
230;309;;;;;
0;0;;;;;
0;0;;;;;
