s/ ativ;c/ ativ;;media;DesvPad;RMS;max
0;0;s/atv;"61,29241289";"101,2264328";"118,3224997";489
62;45;c/atv;"61,2747792";"99,97123144";"117,2415301";509
0;0;;;;;
279;259;;;;;
26;0;;;;;
0;0;;;;;
48;78;;;;;
0;0;;;;;
228;274;;;;;
0;14;;;;;
0;0;;;;;
123;16;;;;;
0;0;;;;;
237;214;;;;;
0;0;;;;;
0;0;;;;;
4;104;;;;;
0;0;;;;;
176;164;;;;;
0;0;;;;;
0;0;;;;;
43;12;;;;;
0;0;;;;;
169;224;;;;;
0;0;;;;;
0;0;;;;;
19;28;;;;;
0;0;;;;;
227;123;;;;;
0;0;;;;;
0;0;;;;;
30;0;;;;;
0;0;;;;;
221;156;;;;;
0;0;;;;;
0;0;;;;;
28;0;;;;;
0;0;;;;;
204;99;;;;;
0;0;;;;;
0;121;;;;;
15;47;;;;;
0;0;;;;;
215;124;;;;;
0;0;;;;;
0;306;;;;;
80;0;;;;;
0;0;;;;;
254;92;;;;;
0;0;;;;;
0;0;;;;;
53;31;;;;;
0;0;;;;;
397;176;;;;;
0;0;;;;;
0;0;;;;;
314;127;;;;;
0;0;;;;;
0;0;;;;;
98;7;;;;;
0;0;;;;;
379;166;;;;;
18;0;;;;;
0;0;;;;;
90;5;;;;;
0;0;;;;;
80;144;;;;;
0;0;;;;;
0;0;;;;;
147;0;;;;;
0;0;;;;;
0;149;;;;;
64;0;;;;;
0;0;;;;;
127;80;;;;;
0;0;;;;;
0;195;;;;;
0;0;;;;;
0;0;;;;;
217;16;;;;;
0;0;;;;;
6;185;;;;;
14;0;;;;;
0;0;;;;;
128;38;;;;;
0;0;;;;;
0;186;;;;;
0;0;;;;;
0;0;;;;;
207;0;;;;;
0;0;;;;;
0;173;;;;;
96;0;;;;;
0;0;;;;;
177;5;;;;;
0;0;;;;;
0;128;;;;;
8;0;;;;;
0;0;;;;;
177;0;;;;;
0;0;;;;;
0;129;;;;;
19;0;;;;;
0;0;;;;;
171;0;;;;;
0;0;;;;;
0;159;;;;;
133;0;;;;;
0;0;;;;;
201;0;;;;;
0;144;;;;;
0;0;;;;;
15;299;;;;;
0;0;;;;;
147;0;;;;;
0;29;;;;;
283;0;;;;;
0;272;;;;;
0;0;;;;;
94;0;;;;;
0;87;;;;;
368;0;;;;;
45;287;;;;;
0;0;;;;;
48;0;;;;;
0;26;;;;;
233;0;;;;;
0;224;;;;;
0;4;;;;;
107;0;;;;;
0;16;;;;;
173;0;;;;;
0;144;;;;;
0;0;;;;;
0;354;;;;;
0;48;;;;;
207;0;;;;;
0;45;;;;;
0;0;;;;;
16;239;;;;;
0;0;;;;;
99;0;;;;;
0;163;;;;;
413;0;;;;;
7;0;;;;;
0;15;;;;;
123;0;;;;;
0;129;;;;;
287;0;;;;;
0;0;;;;;
0;38;;;;;
0;0;;;;;
0;137;;;;;
176;0;;;;;
0;0;;;;;
0;0;;;;;
41;0;;;;;
0;160;;;;;
149;154;;;;;
0;0;;;;;
289;426;;;;;
0;91;;;;;
0;0;;;;;
69;80;;;;;
0;0;;;;;
324;176;;;;;
10;0;;;;;
0;0;;;;;
41;64;;;;;
0;0;;;;;
208;105;;;;;
0;77;;;;;
0;0;;;;;
46;272;;;;;
0;59;;;;;
214;0;;;;;
10;10;;;;;
0;0;;;;;
0;189;;;;;
0;0;;;;;
181;0;;;;;
0;82;;;;;
0;0;;;;;
96;156;;;;;
0;0;;;;;
213;0;;;;;
1;7;;;;;
0;0;;;;;
0;196;;;;;
0;0;;;;;
256;0;;;;;
0;12;;;;;
0;0;;;;;
48;229;;;;;
0;0;;;;;
124;0;;;;;
0;94;;;;;
0;0;;;;;
45;192;;;;;
0;0;;;;;
161;0;;;;;
0;16;;;;;
0;0;;;;;
0;268;;;;;
0;0;;;;;
109;0;;;;;
33;0;;;;;
0;186;;;;;
16;0;;;;;
0;0;;;;;
176;14;;;;;
0;0;;;;;
0;156;;;;;
62;0;;;;;
0;0;;;;;
130;100;;;;;
0;0;;;;;
0;182;;;;;
0;0;;;;;
0;0;;;;;
177;0;;;;;
0;0;;;;;
354;221;;;;;
0;0;;;;;
0;0;;;;;
78;16;;;;;
0;0;;;;;
401;112;;;;;
25;0;;;;;
0;400;;;;;
80;27;;;;;
0;0;;;;;
256;110;;;;;
0;0;;;;;
0;320;;;;;
148;0;;;;;
0;0;;;;;
262;108;;;;;
0;0;;;;;
0;81;;;;;
15;35;;;;;
0;0;;;;;
203;91;;;;;
0;0;;;;;
0;222;;;;;
93;0;;;;;
0;0;;;;;
171;128;;;;;
0;0;;;;;
0;297;;;;;
0;0;;;;;
0;0;;;;;
240;37;;;;;
0;0;;;;;
0;0;;;;;
204;307;;;;;
0;0;;;;;
0;0;;;;;
0;60;;;;;
0;0;;;;;
167;208;;;;;
0;0;;;;;
0;0;;;;;
39;31;;;;;
0;0;;;;;
123;199;;;;;
0;0;;;;;
0;0;;;;;
0;9;;;;;
0;0;;;;;
176;169;;;;;
0;0;;;;;
0;0;;;;;
0;83;;;;;
0;0;;;;;
74;128;;;;;
0;0;;;;;
368;0;;;;;
16;0;;;;;
0;0;;;;;
81;208;;;;;
0;0;;;;;
294;63;;;;;
0;16;;;;;
0;0;;;;;
61;107;;;;;
0;0;;;;;
299;127;;;;;
16;0;;;;;
0;0;;;;;
71;143;;;;;
0;0;;;;;
318;0;;;;;
0;0;;;;;
0;0;;;;;
160;114;;;;;
0;0;;;;;
323;318;;;;;
0;57;;;;;
0;0;;;;;
52;133;;;;;
0;0;;;;;
336;272;;;;;
0;110;;;;;
0;0;;;;;
0;90;;;;;
334;10;;;;;
26;0;;;;;
0;95;;;;;
37;0;;;;;
0;298;;;;;
246;0;;;;;
0;0;;;;;
0;80;;;;;
115;0;;;;;
0;324;;;;;
249;0;;;;;
0;0;;;;;
0;52;;;;;
4;0;;;;;
0;239;;;;;
229;0;;;;;
0;0;;;;;
0;139;;;;;
34;0;;;;;
0;0;;;;;
166;16;;;;;
0;0;;;;;
0;129;;;;;
59;0;;;;;
0;0;;;;;
147;58;;;;;
0;0;;;;;
0;126;;;;;
0;0;;;;;
0;0;;;;;
301;0;;;;;
0;0;;;;;
0;112;;;;;
48;0;;;;;
0;0;;;;;
157;80;;;;;
0;0;;;;;
0;197;;;;;
2;0;;;;;
0;0;;;;;
154;0;;;;;
0;0;;;;;
349;205;;;;;
0;0;;;;;
0;0;;;;;
99;16;;;;;
0;0;;;;;
0;143;;;;;
47;16;;;;;
14;0;;;;;
0;48;;;;;
157;0;;;;;
0;227;;;;;
320;0;;;;;
0;0;;;;;
0;87;;;;;
80;0;;;;;
0;167;;;;;
368;0;;;;;
1;0;;;;;
0;0;;;;;
97;0;;;;;
0;132;;;;;
312;0;;;;;
0;0;;;;;
0;51;;;;;
131;0;;;;;
0;56;;;;;
334;0;;;;;
38;290;;;;;
0;0;;;;;
62;0;;;;;
0;166;;;;;
303;0;;;;;
0;322;;;;;
0;0;;;;;
95;0;;;;;
0;29;;;;;
274;0;;;;;
0;284;;;;;
0;0;;;;;
38;0;;;;;
0;64;;;;;
270;0;;;;;
0;206;;;;;
0;0;;;;;
29;0;;;;;
0;43;;;;;
169;0;;;;;
0;281;;;;;
0;26;;;;;
64;0;;;;;
0;34;;;;;
152;0;;;;;
0;230;;;;;
64;0;;;;;
0;0;;;;;
0;0;;;;;
167;69;;;;;
0;1;;;;;
0;253;;;;;
0;0;;;;;
0;0;;;;;
150;122;;;;;
0;0;;;;;
0;212;;;;;
32;18;;;;;
0;0;;;;;
173;7;;;;;
0;0;;;;;
0;144;;;;;
0;0;;;;;
0;0;;;;;
154;88;;;;;
0;0;;;;;
0;302;;;;;
86;0;;;;;
0;0;;;;;
275;48;;;;;
0;0;;;;;
0;324;;;;;
48;0;;;;;
0;0;;;;;
246;66;;;;;
6;0;;;;;
0;225;;;;;
10;0;;;;;
0;0;;;;;
172;116;;;;;
0;0;;;;;
0;240;;;;;
92;0;;;;;
0;0;;;;;
195;25;;;;;
0;0;;;;;
0;192;;;;;
20;0;;;;;
0;0;;;;;
287;73;;;;;
0;0;;;;;
0;171;;;;;
105;0;;;;;
0;0;;;;;
230;0;;;;;
0;0;;;;;
0;174;;;;;
30;0;;;;;
0;26;;;;;
169;0;;;;;
0;187;;;;;
43;0;;;;;
0;0;;;;;
273;107;;;;;
34;1;;;;;
0;302;;;;;
80;0;;;;;
0;0;;;;;
62;93;;;;;
0;0;;;;;
0;389;;;;;
