s/ ativ;c/ ativ;;media;DesvPad;RMS;max
0;0;s/atv;"55,66559278";"93,23072832";"108,5717582";464
102;187;c/atv;"55,25811636";"92,41945086";"107,6664701";446
0;0;;;;;
185;0;;;;;
0;80;;;;;
0;0;;;;;
54;162;;;;;
0;0;;;;;
221;0;;;;;
0;0;;;;;
0;0;;;;;
112;39;;;;;
0;0;;;;;
227;210;;;;;
0;0;;;;;
0;225;;;;;
19;126;;;;;
0;86;;;;;
318;236;;;;;
0;57;;;;;
0;283;;;;;
39;0;;;;;
0;0;;;;;
256;1;;;;;
0;0;;;;;
0;164;;;;;
218;0;;;;;
0;0;;;;;
0;32;;;;;
99;0;;;;;
0;170;;;;;
178;5;;;;;
0;269;;;;;
0;0;;;;;
0;0;;;;;
0;94;;;;;
180;0;;;;;
0;232;;;;;
319;0;;;;;
9;0;;;;;
0;0;;;;;
78;0;;;;;
0;191;;;;;
11;0;;;;;
0;0;;;;;
0;64;;;;;
99;0;;;;;
0;87;;;;;
176;0;;;;;
0;267;;;;;
0;0;;;;;
5;0;;;;;
0;89;;;;;
227;0;;;;;
0;0;;;;;
86;0;;;;;
0;0;;;;;
240;208;;;;;
0;0;;;;;
0;133;;;;;
96;2;;;;;
0;0;;;;;
281;34;;;;;
0;0;;;;;
0;320;;;;;
84;0;;;;;
0;0;;;;;
335;65;;;;;
40;0;;;;;
0;175;;;;;
64;0;;;;;
0;0;;;;;
256;39;;;;;
0;0;;;;;
0;115;;;;;
142;0;;;;;
0;323;;;;;
295;0;;;;;
0;0;;;;;
0;39;;;;;
25;0;;;;;
0;295;;;;;
385;0;;;;;
0;0;;;;;
0;17;;;;;
194;0;;;;;
0;198;;;;;
0;0;;;;;
0;0;;;;;
0;64;;;;;
80;0;;;;;
0;135;;;;;
0;0;;;;;
0;0;;;;;
0;0;;;;;
181;0;;;;;
0;189;;;;;
15;0;;;;;
69;256;;;;;
0;0;;;;;
148;0;;;;;
0;77;;;;;
0;0;;;;;
0;358;;;;;
0;0;;;;;
135;0;;;;;
251;103;;;;;
0;0;;;;;
0;180;;;;;
35;0;;;;;
0;0;;;;;
258;7;;;;;
16;0;;;;;
0;227;;;;;
17;0;;;;;
0;0;;;;;
151;13;;;;;
0;0;;;;;
0;150;;;;;
16;0;;;;;
0;0;;;;;
121;84;;;;;
0;0;;;;;
0;154;;;;;
50;0;;;;;
0;0;;;;;
115;0;;;;;
0;0;;;;;
0;220;;;;;
42;0;;;;;
0;0;;;;;
130;15;;;;;
0;0;;;;;
284;58;;;;;
0;0;;;;;
0;395;;;;;
96;0;;;;;
0;0;;;;;
0;132;;;;;
64;0;;;;;
0;266;;;;;
208;0;;;;;
0;0;;;;;
0;16;;;;;
0;0;;;;;
0;326;;;;;
186;0;;;;;
0;0;;;;;
0;78;;;;;
16;0;;;;;
0;208;;;;;
80;0;;;;;
0;0;;;;;
275;80;;;;;
0;0;;;;;
0;269;;;;;
149;0;;;;;
0;0;;;;;
0;123;;;;;
60;0;;;;;
0;276;;;;;
143;0;;;;;
0;0;;;;;
0;33;;;;;
