s/ ativ;c/ ativ;;media;DesvPad;RMS;max
0;13;s/atv;"56,12443439";"94,06650469";"109,5244244";518
52;10;c/atv;"59,60605075";"98,78097854";"115,3576558";635
0;47;;;;;
297;0;;;;;
19;83;;;;;
0;0;;;;;
43;186;;;;;
0;0;;;;;
160;0;;;;;
0;138;;;;;
0;0;;;;;
101;0;;;;;
0;0;;;;;
192;0;;;;;
0;97;;;;;
0;0;;;;;
0;0;;;;;
0;49;;;;;
139;0;;;;;
0;115;;;;;
0;0;;;;;
62;304;;;;;
0;0;;;;;
131;0;;;;;
0;147;;;;;
0;0;;;;;
0;304;;;;;
0;0;;;;;
160;0;;;;;
0;39;;;;;
0;0;;;;;
0;346;;;;;
0;0;;;;;
115;0;;;;;
0;99;;;;;
0;0;;;;;
32;202;;;;;
0;0;;;;;
149;0;;;;;
0;96;;;;;
0;0;;;;;
0;243;;;;;
0;0;;;;;
202;0;;;;;
0;64;;;;;
366;0;;;;;
32;117;;;;;
1;0;;;;;
96;0;;;;;
0;0;;;;;
319;0;;;;;
0;144;;;;;
0;0;;;;;
144;0;;;;;
0;0;;;;;
0;0;;;;;
20;159;;;;;
0;0;;;;;
175;0;;;;;
0;0;;;;;
0;0;;;;;
74;137;;;;;
0;0;;;;;
132;0;;;;;
0;45;;;;;
0;0;;;;;
0;114;;;;;
0;0;;;;;
201;0;;;;;
0;0;;;;;
0;0;;;;;
21;142;;;;;
0;0;;;;;
101;250;;;;;
0;0;;;;;
0;0;;;;;
20;114;;;;;
0;0;;;;;
166;0;;;;;
0;45;;;;;
19;0;;;;;
0;111;;;;;
0;0;;;;;
102;0;;;;;
0;0;;;;;
239;0;;;;;
50;210;;;;;
0;0;;;;;
99;0;;;;;
0;29;;;;;
293;0;;;;;
0;207;;;;;
0;0;;;;;
82;0;;;;;
0;1;;;;;
341;0;;;;;
43;204;;;;;
0;0;;;;;
59;0;;;;;
0;64;;;;;
272;0;;;;;
0;119;;;;;
0;0;;;;;
144;0;;;;;
0;0;;;;;
292;0;;;;;
0;203;;;;;
0;0;;;;;
123;320;;;;;
0;0;;;;;
0;0;;;;;
0;140;;;;;
0;0;;;;;
117;0;;;;;
0;97;;;;;
386;0;;;;;
33;106;;;;;
0;0;;;;;
186;0;;;;;
0;0;;;;;
19;0;;;;;
112;205;;;;;
0;0;;;;;
147;0;;;;;
0;0;;;;;
0;0;;;;;
0;85;;;;;
0;0;;;;;
245;48;;;;;
0;27;;;;;
0;0;;;;;
85;130;;;;;
0;0;;;;;
141;306;;;;;
0;0;;;;;
0;0;;;;;
16;92;;;;;
0;0;;;;;
202;223;;;;;
0;23;;;;;
0;0;;;;;
0;71;;;;;
0;0;;;;;
131;279;;;;;
0;0;;;;;
0;0;;;;;
102;123;;;;;
0;0;;;;;
182;309;;;;;
0;0;;;;;
0;0;;;;;
0;21;;;;;
0;0;;;;;
214;276;;;;;
191;0;;;;;
0;0;;;;;
0;58;;;;;
51;0;;;;;
0;0;;;;;
78;144;;;;;
0;0;;;;;
388;243;;;;;
22;0;;;;;
0;0;;;;;
125;48;;;;;
0;0;;;;;
234;240;;;;;
29;0;;;;;
0;0;;;;;
39;98;;;;;
0;0;;;;;
284;216;;;;;
0;0;;;;;
0;0;;;;;
48;23;;;;;
0;0;;;;;
242;289;;;;;
0;0;;;;;
0;0;;;;;
118;113;;;;;
0;0;;;;;
320;164;;;;;
17;0;;;;;
0;0;;;;;
71;13;;;;;
0;0;;;;;
262;141;;;;;
0;0;;;;;
0;0;;;;;
71;16;;;;;
0;0;;;;;
154;189;;;;;
0;0;;;;;
0;0;;;;;
9;26;;;;;
0;0;;;;;
241;174;;;;;
0;0;;;;;
0;0;;;;;
48;0;;;;;
0;0;;;;;
215;182;;;;;
289;0;;;;;
0;0;;;;;
0;82;;;;;
105;0;;;;;
0;164;;;;;
299;0;;;;;
0;0;;;;;
0;275;;;;;
62;0;;;;;
0;0;;;;;
320;39;;;;;
0;0;;;;;
0;118;;;;;
77;0;;;;;
0;0;;;;;
295;40;;;;;
0;0;;;;;
0;167;;;;;
54;0;;;;;
0;356;;;;;
366;0;;;;;
29;0;;;;;
0;62;;;;;
105;0;;;;;
0;304;;;;;
0;22;;;;;
0;0;;;;;
0;54;;;;;
175;0;;;;;
0;210;;;;;
67;0;;;;;
1;0;;;;;
0;112;;;;;
119;0;;;;;
0;218;;;;;
0;0;;;;;
0;0;;;;;
0;0;;;;;
126;0;;;;;
0;207;;;;;
0;0;;;;;
0;0;;;;;
0;26;;;;;
86;0;;;;;
0;146;;;;;
219;0;;;;;
33;0;;;;;
0;0;;;;;
96;0;;;;;
91;218;;;;;
0;0;;;;;
298;0;;;;;
0;0;;;;;
0;0;;;;;
135;134;;;;;
0;5;;;;;
263;0;;;;;
0;134;;;;;
0;0;;;;;
32;0;;;;;
0;0;;;;;
335;0;;;;;
0;147;;;;;
0;0;;;;;
57;0;;;;;
0;55;;;;;
201;0;;;;;
0;114;;;;;
0;0;;;;;
43;0;;;;;
0;0;;;;;
240;0;;;;;
0;144;;;;;
0;0;;;;;
13;0;;;;;
0;0;;;;;
184;0;;;;;
0;115;;;;;
0;0;;;;;
94;0;;;;;
0;0;;;;;
126;0;;;;;
0;113;;;;;
0;0;;;;;
0;309;;;;;
0;0;;;;;
208;0;;;;;
0;94;;;;;
0;0;;;;;
12;322;;;;;
0;18;;;;;
63;0;;;;;
0;59;;;;;
402;0;;;;;
5;251;;;;;
0;0;;;;;
113;0;;;;;
0;148;;;;;
325;0;;;;;
