\x8a\xa\xc2\x9aj
1790
1794
1797
1801
1803
1810
1817
1822
1828
1829
1826
1826
1814
1803
1789
1776
1743
1783
1826
1856
1866
1872
1857
1825
1788
1744
1694
1650
1629
1618
1626
1657
1690
1741
1783
1826
1861
1877
1888
1883
1703
1625
1517
1402
1296
1190
1103
1039
987
969
976
1007
1060
1136
1230
1348
1472
1596
1698
1794
1872
1946
2009
1129
1100
1082
1076
1099
1154
1229
1323
1390
1463
1551
1638
1728
1807
1858
1891
1898
1883
1862
1846
1840
1858
1905
1978
2019
1982
1903
1776
1617
1460
1326
1212
1156
1157
1161
1294
1412
1552
1680
1799
1888
1950
1983
1995
1985
1968
1961
1604
1554
1510
1472
1445
1438
1445
1456
1466
1483
1514
1556
1603
1659
1715
1772
1821
1840
1829
1770
1668
1552
1380
1087
1038
1049
1098
1187
1305
1422
1486
1475
1394
1254
1085
919
777
660
570
503
467
465
480
519
592
724
911
1152
1419
2135
2227
2256
2205
2064
1856
1631
1423
1289
1273
1371
1586
1841
2102
2330
2514
2672
2771
2832
2842
2798
2698
2571
901
700
563
503
549
703
981
1372
1827
2291
2731
3146
3552
3840
3959
3892
3676
3358
3047
2763
2471
2176
1884
1616
1380
858
1186
1574
1955
2326
2653
2919
3090
3135
2995
2711
2321
1809
1168
462
0
0
0
0
0
0
0
0
416
1072
1776
2399
2892
2034
1979
1968
1988
2014
2000
1943
1862
1770
1664
1581
1499
1417
1344
1291
1161
1018
955
903
935
1049
1229
1465
1722
1467
1363
1257
1135
1005
897
823
761
672
540
368
187
45
0
21
172
406
708
1015
1296
1521
1680
1765
1808
1863
1969
2162
852
827
862
927
1035
1158
1303
1471
1634
1745
1776
1692
1494
1210
867
545
290
179
220
407
691
1012
1354
1703
2031
1121
1136
1179
1226
1249
1238
1181
1079
943
802
687
598
582
653
822
1079
1397
1723
2013
2239
2374
2416
2410
2377
2367
2320
2307
2225
2099
1969
1872
1822
1809
1839
1902
1984
2070
2176
2262
2352
2393
2401
2326
2165
1917
1611
1271
943
666
1568
1505
1450
1398
1351
1314
1292
1267
1223
1168
1114
1072
1054
1079
1154
1290
1467
1677
1883
2097
2278
2416
2495
369
199
115
145
276
510
844
1260
1699
2101
2438
2693
2857
2930
2939
2833
2638
2350
1977
1547
1097
681
336
144
87
180
2314
1939
1603
1345
1189
1137
1168
1255
1360
1473
1600
1700
1776
1822
1840
1840
1808
1762
1707
1653
1619
1600
1606
3055
2954
2817
2659
2445
2208
1953
1712
1491
1315
1192
1122
1106
1135
1193
1279
1393
1523
1668
1808
1955
2101
2209
1082
1202
1463
1805
2192
2573
2931
3312
3687
3982
4095
4095
3942
3636
3200
2807
2434
2087
1712
1381
1054
810
624
496
742
592
553
613
743
937
1166
1392
1607
1798
1932
2100
2207
2291
2359
2405
2416
2467
2501
2491
2418
2261
2033
1710
1307
2425
2396
2323
2224
2089
1931
1766
1600
1442
1280
1136
1022
978
1008
1111
1264
1456
1674
1894
2115
2302
2435
2512
1636
1841
2064
2273
2445
2551
2599
2575
2464
2259
1951
1555
1104
645
227
0
0
0
0
147
547
1052
1609
2158
2653
3105
3536
1559
1344
1110
885
705
587
555
607
750
957
1204
1449
1657
1813
1908
1981
1980
1937
1877
1841
1859
1946
2081
2235
1136
1169
1227
1281
1333
1386
1445
1516
1602
1698
1803
1921
2070
2246
2439
2633
2804
2938
3008
2999
2919
2783
2607
2411
816
816
816
835
883
985
1133
1301
1498
1712
1921
2128
2325
2498
2638
2725
2763
2769
2768
2768
2781
2814
2849
2875
1232
1169
1185
1270
1399
1547
1659
1726
1753
1746
1743
1742
1759
1811
1889
1985
2099
2206
2298
2373
2431
2473
2487
1139
1232
1358
1519
1700
1872
2024
2159
2257
2337
2383
2387
2351
2281
2167
2033
1889
1747
1617
1493
1399
1330
1293
1267
1862
2007
2149
2278
2399
2499
2587
2633
2648
2677
2591
2512
2398
2224
1984
1695
1367
1058
773
562
430
387
432
543
1087
666
305
44
0
0
0
149
470
903
1395
1888
2322
2677
2928
3083
3120
3082
2970
2864
2754
2665
2577
2486
2385
2287
2167
761
1287
1815
2298
2714
3056
3418
3632
3776
3778
3600
3312
2947
2524
2087
1591
1099
665
320
73
46
141
389
756
1206
2791
2983
3103
3168
3181
3139
3052
2919
2745
2557
2355
2160
1963
1779
1612
1487
1408
1377
1404
1475
1603
1749
1915
1202
1225
1280
1360
1472
1610
1731
1842
1935
2015
2081
2135
2217
2318
2434
2551
2656
2723
2736
2671
2544
2363
2118
1755
1776
1775
1748
1719
1683
1653
1616
1579
1487
1458
1422
1410
1440
1489
1567
1631
1664
1663
1638
1610
1606
1626
1663
1648
1707
1807
1933
2077
2218
2338
2416
2437
2406
2349
2227
2123
2013
1920
1878
1864
1884
1934
1999
2086
2165
2245
1503
1611
1686
1747
1762
1721
1638
1506
1392
1296
1261
1286
1377
1535
1730
1935
2129
2314
2464
2579
2654
2672
2619
824
835
912
1072
1297
1595
1885
2139
2321
2416
2439
2386
2298
2221
2164
2153
2189
2242
2294
2329
2337
2324
2300
2261
2210
2308
2394
2470
2541
2609
2655
2675
2654
2573
2416
2215
1965
1705
1440
1221
1066
985
995
1092
1239
1424
1634
1843
1125
1317
1535
1741
1904
2021
2091
2114
2119
2102
2074
2029
1975
1932
1888
1840
1776
1695
1586
1439
1261
1072
906
2602
2756
2883
2987
3090
3142
3152
3100
2974
2813
2633
2421
2269
2091
1930
1773
1631
1509
1414
1366
1393
1467
1606
1748
2538
2538
2533
2514
2481
2448
2389
2313
2218
2112
1998
1875
1755
1634
1526
