\x13j
1861
1861
1861
1851
1837
1826
1809
1805
1797
1799
1802
1805
1809
1815
1820
1822
1825
1827
1827
1827
1818
1813
1808
1750
1768
1792
1832
1872
1872
1931
1941
1935
1910
1888
1869
1850
1835
1845
1853
1870
1854
1909
1917
1915
1862
1872
880
957
1095
1281
1499
1733
1958
2162
2326
2438
2491
2487
2431
2327
2181
2000
1794
1583
1369
1184
1019
875
761
688
2195
2207
2160
2053
1879
1669
1421
1170
930
766
701
730
863
1057
1267
1469
1648
1783
1851
1854
1797
1730
1677
1637
1634
2175
2237
2287
2359
2449
2577
2723
2885
3047
3196
3303
3350
3318
3207
3013
2768
2493
2193
1861
1507
1149
798
473
199
1242
963
724
558
462
465
574
739
949
1184
1417
1616
1759
1840
1876
1872
1792
1616
1328
961
556
160
0
0
0
0
0
208
1932
1342
785
345
48
0
0
95
366
727
1185
1649
2118
2544
2916
3200
3303
3131
2778
2288
1680
1023
432
0
0
0
0
0
0
208
2159
2333
2455
2499
2458
2339
2160
1966
1797
1699
1686
1775
1923
2150
2395
2641
2816
2896
2877
2746
2503
2199
1839
1525
1553
2006
2414
2698
2847
2873
2755
2545
2315
2096
1930
1851
1869
1967
2118
2281
2385
2407
2304
2096
1808
1491
1219
2030
2017
2075
2155
2257
2377
2499
2592
2646
2662
2641
2595
2513
2451
2384
2320
2256
2181
2084
1942
1787
1600
1360
4095
4007
3810
3662
3372
3180
3011
2871
2738
2597
2447
2303
2161
2009
1869
1764
1729
1765
1843
1935
2026
2102
2149
3084
3215
3245
3173
3019
2815
2559
2283
1984
1699
1456
1275
1190
1136
1162
1181
1239
1315
1425
1586
1776
1990
2181
2313
1909
2224
2581
2945
3358
3773
4063
4095
3999
3648
3191
2771
2403
2094
1823
1599
1403
1227
1047
862
686
528
428
420
1905
2032
2159
2263
2333
2333
2253
2107
1909
1694
1485
1328
1258
1287
1371
1472
1564
1635
1695
1728
1729
1680
1609
1838
1841
1838
1827
1824
1831
1835
1859
1914
1999
2097
2192
2275
2385
2323
2274
2160
1967
1681
1326
926
557
231
5
0
442
502
603
711
839
991
1182
1403
1648
1881
2098
2302
2497
2684
2821
2859
2773
2592
2322
2012
1690
1420
1223
1074
957
1877
2000
2134
2259
2389
2515
2638
2731
2802
2855
2881
2869
2817
2715
2576
2416
2231
2070
1916
1773
1616
1435
1223
2627
2635
2603
2537
2434
2279
2086
1860
1650
1462
1345
1271
1215
1150
1079
976
857
726
624
589
628
758
966
1251
1584
1434
1117
876
752
748
847
1029
1268
1543
1825
2102
2343
2527
2637
2653
2580
2416
2193
1919
1607
1255
880
547
305
198
1904
1642
1395
1207
1079
1029
1066
1172
1349
1557
1772
1951
2071
2115
2080
1988
1856
1707
1552
1392
1254
1135
