Sj
2779
2599
2351
2091
1872
1774
1698
1691
1715
1696
2978
2882
2832
2681
2629
2576
2590
2517
2559
2497
2407
2325
2112
1870
1589
1349
1104
855
704
612
560
528
536
491
462
1357
1367
1434
1511
1697
1766
1924
1967
2039
2059
1994
2021
1934
1865
1616
1357
1071
786
461
100
0
0
0
0
0
195
640
485
1136
1905
2753
3558
4012
3943
3216
2525
1653
827
199
0
0
0
384
955
1654
2326
2896
3504
3969
4058
3751
3114
2483
4095
4095
4095
3843
3092
2526
1843
1249
768
496
448
642
921
1367
1888
2241
2512
2644
2606
2327
1889
1453
1040
713
483
2254
2209
2143
2069
2023
1915
1783
1616
1603
1581
1739
1777
1941
2022
2067
1926
1840
1687
1556
1424
1327
1311
1358
2450
2681
2896
3007
3024
2841
2492
2042
1600
1139
813
658
843
1309
1972
2736
3673
4095
4095
4095
4095
3852
3308
2659
1963
2019
1905
1821
1764
1790
1862
1931
2026
2000
1787
1405
912
397
0
0
0
0
0
0
0
0
417
1057
1806
2500
3168
3612
3723
2735
2670
2507
2239
1951
1631
1323
1183
1186
1329
1584
1903
2164
2367
2410
2353
2158
1794
1283
913
524
231
80
100
1863
1801
1802
1741
1625
1456
1245
967
747
500
276
189
187
272
451
752
1081
1456
1807
2192
2512
2759
2710
2505
2193
1226
1303
1431
1392
1315
1185
1023
954
1001
1170
1488
1958
2490
3029
3773
4095
4095
4095
3735
3221
2902
2701
2685
2812
1222
1742
2345
2726
2955
2783
2374
1875
1356
754
245
0
0
0
0
129
505
1104
1805
2548
3376
4095
4095
4095
4095
4095
373
339
290
198
231
213
358
477
685
917
1216
1367
1712
2031
2349
2637
2800
2830
2858
2865
2867
2859
2864
2960
3017
3069
80
0
0
0
113
659
1401
2069
2613
2937
2959
2768
2427
1890
1377
910
573
340
259
429
773
1242
1724
2178
2422
2576
2641
30
0
0
0
0
0
334
843
1551
2157
2573
2883
2943
2759
2519
2252
2023
1829
1692
1713
1807
1923
2005
1962
1792
1621
1355
1895
2402
2978
3424
3914
3952
3242
2487
1683
734
0
0
0
0
0
0
0
150
370
643
875
1077
1292
1579
1779
2045
2371
2685
3001
533
565
707
898
1249
1517
1835
2126
2375
2495
2458
2418
2346
2265
2227
2203
2209
2336
2495
2662
2791
2896
2827
2702
1361
1425
1629
1819
2003
2126
2238
2145
2012
1893
1693
1631
1613
1637
1824
2093
2379
2658
2832
2837
2722
2419
2021
2501
2530
2428
2224
2017
1716
1490
1348
1173
977
912
999
1099
1328
1616
1920
2255
2630
2910
3248
3549
3794
3982
3903
1313
1951
2559
3088
3702
4095
4095
3886
3458
2941
2491
2090
1751
1664
1616
1731
1955
2109
2235
2304
2158
1998
1743
2419
2706
2835
2786
2619
2295
1913
1478
1083
865
816
944
1211
1616
2004
2352
2609
2672
2735
2677
2704
2769
2951
3042
737
635
624
686
790
983
1173
1535
2022
2638
3430
4095
4095
4095
4095
4053
3395
2748
2178
1702
1264
944
746
654
592
821
1104
1433
1904
2352
2740
3216
3495
3696
3483
3171
2800
2399
1991
1476
907
432
15
0
0
0
121
577
1308
2237
3152
4095
4095
4095
3422
2556
1717
864
0
0
0
0
0
0
144
686
1451
2304
2942
3710
4016
4071
3600
3038
2541
2038
1607
1296
1140
1296
1293
1290
1074
851
554
386
371
524
815
1250
1616
2000
2358
2727
3065
3422
3862
4095
4095
4095
4095
3947
3263
2643
4095
4095
4095
4095
4095
4095
3455
2705
2134
1569
1014
675
416
272
384
688
1178
1707
2178
2554
2755
2736
2512
2176
975
894
882
1088
1385
1798
2400
3070
3921
4095
4095
4095
4034
3302
2734
2161
1641
1168
898
843
1008
1281
1625
2026
2479
2257
2585
2803
2887
2790
2539
2147
1683
1204
718
371
55
0
0
0
0
16
187
417
855
1298
1762
2331
2902
3531
4095
4095
4095
4095
4095
3626
2951
2418
2000
1687
1604
1774
2081
2579
3199
4095
4095
4095
4095
4095
4095
3887
2971
2170
1264
1265
816
458
205
73
0
0
0
0
27
240
625
1085
1687
2384
3057
3838
4095
4095
4095
4095
4095
4095
3964
3696
3379
3079
2734
3001
3131
3231
3261
3184
2892
2496
2193
1888
1627
1398
1232
1100
951
803
599
463
268
145
105
176
392
750
1196
1715
2971
2520
2112
1833
1579
1435
1421
1513
1603
1671
1717
1753
1751
1721
1660
1580
1575
1558
1570
1578
1693
1890
2175
2197
2043
1798
1558
1283
1078
832
626
560
611
733
990
1374
1793
2254
2717
3215
3775
4095
4095
4095
4001
3518
2994
2537
3454
3765
4046
4095
4095
4049
3917
3831
3853
3915
3991
4038
3999
3957
3892
3692
3424
3169
2963
2741
2493
2215
1923
1890
1766
1728
1678
1645
1600
1626
1662
1659
1717
1826
2000
2199
2530
3022
3581
4095
4095
4095
4095
4095
4095
4095
3711
3356
3102
2860
2689
2635
2774
3246
4095
4095
4095
4095
4095
4095
4095
4095
4095
4095
4095
4095
3403
2639
1969
1388
4019
3994
3974
3843
3597
3280
2983
2697
2405
2127
1877
1734
1614
1582
1649
1809
2047
2366
2677
3079
3610
4095
4095
2267
2503
2801
3202
3755
4095
4095
4095
4095
4006
3493
2971
2491
2033
1637
1353
1278
1295
1454
1703
2068
2455
2800
944
1375
1874
2541
3232
4095
4095
4095
4095
4048
3469
2865
2340
1770
1239
775
485
352
371
552
907
1329
1837
2373
2911
1494
1570
1748
1893
2215
2687
3232
4095
4095
4095
4095
4095
4095
4095
4095
4095
4095
4095
3478
2806
2190
1581
1088
4095
4095
4095
4095
4095
4095
4095
4095
3913
3423
2915
2451
2033
1550
1157
880
644
