j
0
0
0
0
315
733
1227
1764
2305
3732
4095
4095
4095
4095
3918
3566
3232
2962
2758
2607
2507
2465
2460
2462
2429
2273
1990
1632
1254
929
672
467
343
413
130
0
0
0
0
0
0
195
721
1430
2229
3069
4095
4095
4095
4095
4095
3999
3339
2750
2229
1762
1410
1230
1250
1463
1835
2338
2063
1878
1810
1824
1888
1904
1815
1564
1162
731
384
195
192
331
576
914
1363
1879
2426
2998
3741
4095
4095
4095
10
64
294
701
1264
1916
2576
3198
3843
4095
4039
3597
3083
2656
2288
1979
1665
1286
918
627
436
369
403
528
707
960
4095
4095
4095
4080
3888
3616
3273
2857
2323
1690
1001
363
0
0
0
0
117
548
1072
1627
2146
2590
2925
3173
3310
3343
4095
4095
4095
4095
3874
3356
2782
2199
1586
898
205
0
0
0
0
0
0
0
105
549
1111
1655
2112
2459
2704
2833
2874
2859
2784
2682
2708
2722
2738
2757
2757
2736
2688
2594
2466
2367
2285
2221
2174
2143
2155
2211
2320
2430
2519
2583
2574
2429
1904
2655
3530
4095
4095
4095
4095
4095
4095
3774
3019
2368
1743
1146
739
367
48
0
0
0
21
240
544
912
1362
1846
2297
1978
2137
2259
2354
2415
2389
2269
2041
1776
1534
1354
1227
1137
1072
1049
1091
1190
1295
1378
1437
1517
1504
1491
4095
4095
4095
4095
4095
3327
2434
1360
114
0
0
0
0
0
0
0
177
713
1325
1917
2390
2704
2864
2858
2646
2290
1842
1403
3210
2821
2374
1808
1104
375
0
0
0
0
0
346
916
1583
2201
2688
3038
3313
3550
3712
3827
3912
3985
4035
3971
3761
3394
226
0
0
0
193
818
1668
2609
3815
4095
4095
4095
4095
4095
4095
4095
3500
2706
1893
1043
292
0
0
0
0
0
0
0
131
637
1303
1060
866
837
922
1074
1248
1415
1520
1504
1370
1175
999
896
859
875
913
976
1062
1167
1291
1472
1719
2011
2353
1645
1606
1584
1600
1665
1760
1851
1933
2007
2095
2192
2323
2463
2557
2547
2380
2091
1687
1321
1035
822
691
607
588
1238
1961
2665
3217
3478
3305
2908
2483
2073
1737
1517
1391
1403
1456
1535
1656
1811
2000
2209
2416
2654
2894
2989
2993
998
1261
1613
2043
2498
2935
3430
3929
4095
4095
3969
3574
3167
2854
2623
2437
2333
2287
2259
2159
1915
1566
1118
4095
4095
4095
4095
4095
4095
4095
4095
4095
3888
3499
3057
2567
1970
1291
614
0
0
0
0
0
0
0
0
103
229
323
321
256
206
2970
2640
2346
2151
2029
2061
2070
2023
1811
1490
1071
576
65
0
0
0
0
0
0
197
724
1409
2165
2900
3772
4095
4095
4095
308
794
1383
2002
2602
3182
3792
4095
4095
4095
3963
3678
3371
3107
2911
2773
2670
2525
2304
2017
1685
1355
1066
2176
1981
1729
1469
1242
1093
1040
1087
1239
1488
1808
2139
2431
2649
2763
2749
2615
2405
2150
1873
1626
1424
1392
1409
1221
1757
2201
2508
2685
2730
2674
2559
2416
2285
2213
2180
2224
2288
2326
2372
2434
2512
2554
2503
2327
2033
1670
2847
2592
2240
1836
1424
1081
803
622
555
619
816
1124
1495
1861
2167
2381
2535
2505
2432
2288
2056
1808
1594
1466
4095
3953
3438
2915
2421
1811
1101
394
0
0
0
0
0
0
0
0
0
272
768
1398
2121
2890
3934
4095
4095
4095
4095
4095
4095
4095
4095
3721
3182
2735
2354
2037
1794
1641
1599
1608
1565
1382
1105
783
489
291
224
319
577
945
1379
1823
2254
2639
3254
3046
2902
2822
2811
2869
2955
3017
2999
2915
2759
2528
2261
1967
1675
1423
1238
1174
1223
1380
1621
1776
1858
430
473
425
343
301
357
531
865
1382
2059
2842
3998
4095
4095
4095
4095
4095
4095
4095
3792
3149
2619
2131
1715
1419
483
123
0
0
0
290
755
1331
1907
2459
2992
3638
4095
4095
4095
4095
4095
4095
3802
3312
2813
2256
1586
846
154
0
0
0
0
163
774
1577
2423
3299
4095
4095
4095
4095
3819
3367
3021
2827
2727
2624
2466
2258
2007
1761
1535
1408
1355
1298
1210
2549
2647
2717
2770
2816
2845
2815
2688
2457
2159
1785
1397
1066
815
641
528
511
610
820
1131
1488
1847
2154
2414
426
203
151
311
662
1146
1643
2029
2320
2523
2658
2699
2645
2559
2475
2374
2245
2078
1901
1776
1668
1638
1669
1758
2297
2250
2206
2134
1998
1823
1607
1439
1355
1296
1236
1190
1166
1137
1136
1174
1267
1374
1500
1635
1778
1935
2091
2186
1520
1041
748
673
783
986
1237
1520
1813
2086
2283
2391
2421
2393
2358
2378
2469
2596
2665
2640
2535
2386
2209
1968
2582
2822
2855
2672
2338
1933
1519
1168
947
913
1083
1409
1856
2359
2895
3461
3983
4095
3877
3295
2704
2086
1366
3643
3753
3501
3007
2487
1951
1459
1075
795
619
535
530
576
623
592
528
347
147
0
0
70
415
909
1597
2320
3136
4095
417
382
403
448
499
567
634
703
832
962
1057
1147
1280
1470
1742
2098
2515
2991
3573
4095
4095
4095
4095
4095
4095
4071
1750
1803
1774
1712
1639
1552
1488
1285
1001
752
560
436
401
470
643
909
1248
1631
2026
2422
2818
3231
3632
3903
4015
2770
3710
4095
4095
4095
3746
3263
2871
2557
2323
2176
2116
2128
2163
2195
2217
2208
2154
1956
1601
1124
538
0
0
1484
2207
3043
4095
4095
4095
4095
4095
4095
4095
4079
3700
3248
2846
2482
2134
1788
1440
1117
807
578
446
449
584
852
11
0
0
0
0
0
0
105
336
561
773
1002
1278
1619
2010
2351
2504
2479
2340
2123
1987
1877
1840
1882
2031
2282
