Sj
2138
2623
3088
3574
3977
4095
1783
2061
2289
2428
2427
2293
2031
1706
1356
1043
800
679
712
908
1121
1477
1851
2193
2473
2681
2819
3011
2961
2979
2579
2570
2470
2368
2285
2228
2211
2206
2287
2373
2491
2608
2671
2659
2584
2448
2289
2128
1987
1903
1866
1857
1873
163
465
830
1232
1648
2043
2426
2774
3094
3366
3547
3629
3583
3419
3173
2901
2651
2431
2251
2115
2007
1953
1940
1965
2373
2862
3376
3888
4095
4095
4095
3920
3543
3158
2817
2512
2225
1966
1755
1600
1483
1377
1271
1156
1042
944
877
848
2575
2209
1819
1471
1247
1175
1267
1494
1808
2173
2544
2896
3217
3469
3571
3509
3274
2965
2595
2189
1783
1413
1131
944
1127
847
625
467
379
352
370
438
575
745
926
1113
1301
1503
1738
2000
2303
2617
2896
3111
3223
3201
3083
2890
2671
2732
2938
3040
3043
2973
2848
2705
2575
2447
2338
2241
2145
2061
1957
1842
1735
1661
1618
1629
1693
1808
1938
2070
1460
1264
1127
1072
1087
1123
1210
1325
1447
1665
1746
1913
2075
2231
2389
2548
2691
2800
2807
2725
2535
2267
1910
1584
1788
1637
1504
1424
1396
1435
1532
1655
1817
1952
2041
2059
2008
1927
1827
1730
1616
1473
1338
1223
1175
1197
1271
1611
1781
1942
2039
2124
2132
2038
1861
1601
1278
950
690
527
432
411
418
445
489
544
593
640
698
788
953
1189
1482
1067
1136
1168
1212
1273
1377
1531
1712
1879
2055
2211
2413
2598
2751
2839
2837
2727
2529
2258
1947
1618
1291
991
0
0
0
0
144
501
871
1178
1328
1296
1099
805
497
251
123
146
321
592
912
1232
1478
1606
1584
1437
1241
1062
926
866
894
776
1107
1488
1879
2250
2547
2769
2910
2967
2927
2782
2567
2301
1984
1614
1192
752
340
0
0
0
0
0
0
0
0
0
0
0
0
0
351
544
781
1028
1232
1360
1408
1389
1296
1159
985
773
546
307
118
0
0
0
0
0
48
147
289
432
576
718
894
1104
1329
1575
1492
1390
1242
1011
718
379
48
0
0
0
0
171
539
974
1420
1791
2042
2175
2212
