\x8a\xaaj
1825
1840
1833
1914
1790
1645
1505
1403
1342
1300
1294
1306
1360
1453
1567
1675
1779
1883
1950
1996
2032
2066
2082
2084
2086
2061
2285
2043
1792
1549
1328
1177
1088
1053
1074
1146
1249
1348
1443
1526
1617
1697
1774
1819
1847
1925
1840
1801
1764
1734
2118
2250
2363
2479
2576
2614
2569
2430
2240
1987
1721
1446
1209
1056
848
720
657
645
694
819
1023
1287
1571
1843
2203
2258
2246
2182
2047
1900
1737
1584
1482
1442
1449
1479
1551
1629
1689
1706
1712
1684
1618
1520
1431
1363
1319
1295
1811
1801
1808
1802
1787
1776
1779
1806
1889
2053
2283
2544
2857
3152
3386
3439
3295
2995
2634
2219
1755
1319
912
1514
1631
1799
1987
2176
2348
2462
2524
2513
2448
2359
2247
2119
1973
1843
1699
1568
1456
1392
1360
1354
1371
1413
2333
2514
2672
2752
2841
2810
2734
2601
2430
2251
2113
1952
1826
1723
1648
1582
1550
1549
1565
1591
1607
1616
1612
2215
2064
1904
1776
1648
1533
1431
1341
1281
1222
1200
1217
1264
1334
1450
1619
1814
2039
2283
2526
2734
2847
2873
2783
1517
1427
1341
1277
1231
1230
1264
1362
1475
1594
1723
1879
2042
2194
2289
2321
2294
2206
2066
1882
1667
1451
1295
1466
1731
1939
2126
2241
2288
2253
2171
2037
1917
1798
1706
1648
1647
1638
1605
1553
1488
1446
1434
1442
1484
1554
3196
3728
4095
4095
4095
4095
3786
3315
2827
2352
1858
1338
917
582
381
276
281
380
566
789
1054
1296
1527
1727
1730
507
372
412
642
1008
1616
2272
2922
3670
4095
4095
4095
4095
3826
3264
2729
2201
1671
1153
723
410
223
154
160
222
590
395
362
438
644
962
1338
1758
2158
2496
2769
2918
2943
2851
2645
2387
2090
1808
1593
1458
1388
1361
1331
1288
1242
1233
758
382
105
12
80
320
695
1155
1599
1947
2190
2301
2281
2159
1955
1742
1531
1356
1223
1118
1055
979
949
945
1415
1553
1765
2006
2240
2448
2583
2800
2823
2843
2798
2698
2541
2321
2059
1712
1423
1110
837
651
528
487
521
634
876
1392
1783
2163
2481
2727
2858
2823
2659
2379
2069
1744
1461
1264
1133
1078
1088
1147
1262
1424
1608
1779
1920
2010
2070
2098
2036
1985
1936
1882
1853
1850
1868
1891
1915
1922
1921
1904
1851
1825
1808
1823
1853
1887
1901
1945
1954
1964
1001
899
912
1034
1219
1439
1665
1853
2011
2134
2234
2294
2336
2370
2479
2691
2999
3440
4002
4095
4095
4095
4095
3649
2118
2017
1888
1746
1618
1498
1422
1382
1350
1446
1581
1769
2006
2275
2515
2658
2690
2657
2531
2354
2177
1967
1780
1431
1429
1451
1507
1584
1661
1758
1869
1997
2124
2224
2301
2351
2380
2383
2363
2324
2251
2147
2064
1977
1909
1873
681
909
1165
1408
1624
1872
1954
2047
2082
2047
1991
1935
1892
1904
1888
1958
2119
2350
2624
2926
3243
3537
3764
3806
2098
2555
2842
3152
3383
3443
3328
3118
2834
2528
2197
1890
1664
1556
1552
1610
1686
1791
1871
1920
1902
1838
1743
1755
1595
1438
1325
1218
1139
1086
1005
1047
1089
1201
1373
1597
1815
2018
2195
2352
2479
2573
2637
2713
2838
3025
3291
1403
1331
1278
1232
1178
1125
1168
1075
1111
1213
1392
1668
2028
2430
2826
3193
3517
3722
3732
3575
3335
3055
2754
1926
1979
2022
2044
2039
2032
2031
2042
2062
2086
2130
2213
2314
2426
2595
2512
2510
2429
2286
2096
1870
1648
1443
2085
2116
2145
2157
2158
2158
2167
2228
2341
2503
2690
2867
2998
3083
3090
3051
2931
2758
2517
2229
1950
1727
1584
2011
2064
2159
2262
2418
2592
2785
2949
3055
3062
2989
2838
2628
2359
2052
1746
1456
1207
997
857
784
764
793
883
1041
1678
1555
1450
1379
1365
1410
1502
1616
1759
1894
1989
2047
2063
2032
1973
1894
1796
1712
1615
1547
1488
1501
1525
2527
2591
2586
2507
2374
2192
2011
1819
1680
1558
1497
1485
1527
1619
1755
1901
2039
2165
2272
2359
2429
2463
2449
2384
1739
1851
1961
2054
2128
2196
2240
2266
2297
2338
2382
2405
2418
2387
2340
2272
2189
2091
1997
1885
1770
1649
1533
1295
1419
1584
1786
2046
2339
2646
2938
3213
3426
3507
3419
3169
2816
2417
1978
1535
1157
841
613
474
405
448
590
2463
2469
2421
2343
2288
2340
2502
2756
3055
3360
3579
3632
3431
3063
2638
2224
1659
1172
743
422
190
77
65
107
222
1825
1970
2142
2289
2389
2426
2358
2203
1993
1733
1441
1154
903
704
576
518
529
524
507
539
611
720
867
1042
1245
1490
1925
2090
2195
2252
2262
2157
2001
1818
1616
1478
1502
1669
1910
2209
2494
2745
2919
2973
2894
2667
2343
1922
1533
434
524
670
880
1049
1307
1627
1981
2334
2666
2957
3248
3549
3895
4095
4095
4095
4030
3631
3136
2640
2116
1563
1018
67
157
333
588
887
1200
1454
1605
1675
1668
1607
1522
1466
1457
1549
1744
2064
2432
2817
3183
3536
3812
3875
3697
3313
1727
1617
1480
1359
1251
1149
1072
995
944
912
913
989
1122
1309
1488
1696
1863
1998
2123
2256
2406
2551
2667
2740
1553
1335
1136
988
896
875
934
1059
1223
1425
1629
1797
1907
1972
1969
1906
1823
1727
1676
1689
1822
2100
2416
2764
1142
983
876
831
873
986
1175
1404
1635
1861
2047
2197
2346
2608
2902
3472
4095
4095
4095
4095
4095
4081
3638
3100
2165
1825
1482
1217
1045
1058
1234
1507
1776
1979
2080
2109
1966
1791
1587
1402
1255
1200
1215
1304
1414
1530
1622
663
787
1061
1474
1984
2501
3008
3529
3943
4048
3850
3348
2800
2281
1696
1215
785
481
289
213
234
325
487
698
903
1121
1613
1519
1473
1526
1662
1827
2013
2125
2197
2256
2283
2282
2256
2205
2199
2286
2438
2635
